PRODUCT_UPC,PRODUCT_CATALOGUE_NUMBER,TRACK_ISRC_CODE,TRACK_ID,LABEL,RELEASE,TRACK_TITLE,TRACK_ARTIST,REMIXER_NAME,REMIX,TERRITORY,PURCHASE_STATUS,FORMAT,DELIVERY,TRANSACTION_DATE,CONTENT_TYPE,TRACK_COUNT,GROSS_CONTENT_REVENUE,GROSS_WAV_REVENUE,PAID_PRICE,NET_CONTENT_REVENUE,NET_WAV_REVENUE,MECHANICAL_WITHHOLDING,US_TAX_WITHHOLDING,WITHHELD_AMOUNT,US_TAX_WITHHOLDING_PERCENT,US_TAX_WITHHOLDING_COMPLIANCY_STATUS,NET_TOTAL,SALE_TYPE
,INS015,,424874,"InStereo Recordings","Put The Record Back On","Put The Record Back On","DJ Dan","Peace Division","Peace Division Mix",NLD,Classic,mp3,download,2017-07-28,single,1,0.91,0.00,0.91,0.55,0.0000000000,0.09,0.00,0.09,0.0000,1,0.46,Sale
,INS015,,424874,"InStereo Recordings","Put The Record Back On","Put The Record Back On","DJ Dan","Peace Division","Peace Division Mix",FRA,Classic,mp3,download,2017-07-31,single,1,1.83,0.00,1.83,1.10,0.0000000000,0.18,0.00,0.18,0.0000,1,0.92,Sale
,INS015,,424874,"InStereo Recordings","Put The Record Back On","Put The Record Back On","DJ Dan","Peace Division","Peace Division Mix",IRL,Classic,mp3,download,2017-07-13,single,1,1.78,0.00,1.78,1.07,0.0000000000,0.18,0.00,0.18,0.0000,1,0.89,Sale
,INS015,,424875,"InStereo Recordings","Put The Record Back On","Put The Record Back On","DJ Dan","H Foundation","H Foundation Remix",GBR,Classic,mp3,download,2017-07-16,single,1,1.28,0.00,1.28,0.77,0.0000000000,0.13,0.00,0.13,0.0000,1,0.64,Sale
,INS003,,469288,"InStereo Recordings","Bitches & Drum Machines","Bitches & Drum Machines","Angel Alanis","Joey Beltram","Joey Beltram Remix",USA,"General Content",mp3,download,2017-07-31,single,1,0.74,0.00,0.74,0.44,0.0000000000,0.00,0.00,0.00,0.0000,1,0.44,Sale
,INS025,,517315,"InStereo Recordings","Flow (Remixes)",Flow,"Joey Mazzola,Mike Balance","Miles Dyson","Miles Dyson Remix",USA,"General Content",aiff,download,2017-07-09,single,1,1.49,0.75,2.24,0.89,0.3800000000,0.00,0.00,0.00,0.0000,1,1.27,Sale
,INS026,,528098,"InStereo Recordings","Stick Em","Stick Em","Donald Glaude,DJ Dan",,"Original Mix",AUS,"General Content",aiff,download,2017-07-18,single,1,0.00,0.58,0.58,0.00,0.2900000000,0.06,0.00,0.06,0.0000,1,0.23,Sale
844185009126,INS045,USMKV0904403,834498,"InStereo Recordings","Ghetto Blaster (Krafty Kuts Remix)","Ghetto Blaster","Marc Adamo,Tim Healey","Krafty Kuts","Krafty Kuts Remix",USA,"General Content",aiff,download,2017-07-07,single,1,0.00,0.75,0.75,0.00,0.3800000000,0.00,0.00,0.00,0.0000,1,0.38,Sale
084854242205,INS086,,,"InStereo Recordings","The Glow EP",,Slicerboys,,,JPN,"General Content",mp3,download,2017-07-10,release,2,2.98,0.00,2.98,1.94,0.0000000000,0.30,0.00,0.30,0.0000,1,1.64,Sale
847108027542,INS091,,,"InStereo Recordings","Nothing But A Party",,"DJ Dan,Lookback",,,KOR,"General Content",mp3,download,2017-07-03,release,1,1.49,0.00,1.49,0.97,0.0000000000,0.15,0.00,0.15,0.0000,1,0.82,Sale
