"Label","Period","UPC - EAN","Catalog Number","Release Artist","Release Title","ISRC","Track Number","Track Artist","Track Title","Track Version","bundle","Territory","Bitrate","Price Point","Trans %","Percentage","Mechanical Withholding","Unit Rate","Qty","Amount Due"
"InStereo Recordings","Jul - 2017","","INS053","Dom G","Dom G - Work","844185059862","1","Dom G","Work","Original","No","GB","MP3",1.99,4.500,60.00,0.199,0.941,1,0.941270
"InStereo Recordings","Jul - 2017","","INS053","Dom G","Dom G - Work","USMKV1005301","2","Dom G","Work","Work DJ Dan & Mike Balance Remix","No","US","MP3",1.99,4.500,60.00,0.000,1.140,1,1.140270
"InStereo Recordings","Jul - 2017","","INS067","DJ Dan","Sounds of InStereo Vol. 2 - Mixed by DJ Dan","USMKV1200027","18","DJ Dan, Uberzone","Bouncin ","Scrubfish & Laurence Remix","No","DE","MP3",1.99,4.500,60.00,0.199,0.941,1,0.941270
"InStereo Recordings","Jul - 2017","889176543517","INS165","Alaia & Gallo","Forever","USMKV1416501","1","Alaia & Gallo, Slideback","Forever","Original Mix","No","AU","MP3",1.99,4.500,60.00,0.199,0.941,1,0.941270
"InStereo Recordings","Jul - 2017","889845532378","INS182","Matt Caseli","She Just Wants","USMKV1518201","1","Jason Chance, Matt Caseli, Terry Lex, Sean David","She Just Wants","Original Mix","No","GB","AIFF",0.75,4.500,60.00,0.075,0.355,1,0.354750
"InStereo Recordings","Jul - 2017","889845532460","INS184","Ted Nilsson","We Got the Funk / Don't Stop","USMKV1518401","1","Ted Nilsson, Stuart Ojelay","We Got the Funk","Original Mix","No","GB","AIFF",0.75,4.500,60.00,0.075,0.355,1,0.354750
"InStereo Recordings","Jul - 2017","889845532491","INS185","Code3000","Jack That Body Remixes","USMKV1518501","1","Dave Rose, Code3000","Jack That Body","Dave Rose Remix","No","GB","AIFF",0.75,4.500,60.00,0.075,0.355,1,0.354750
"InStereo Recordings","Jul - 2017","889845841753","INS210","Off Da Clock","Put Your Handzz Up!","USMKV1521001","1","Off Da Clock","Put Your Handzz Up!","Original Mix","No","SE","MP3",1.99,4.500,60.00,0.199,0.941,1,0.941270
"InStereo Recordings","Jul - 2017","190374888288","INS228","DJ Dan","DJ Dan & Friends","USMKV1300028","27","Gary Caos, DJ Dan","Minibus","","No","CA","WAV",2.74,4.500,60.00,0.274,1.296,1,1.296020
"InStereo Recordings","Jul - 2017","190374888288","INS228","DJ Dan","DJ Dan & Friends","USMKV1519701","25","DivaDanielle, DJ Dan","I Got a Man","","No","AU","MP3",1.99,4.500,60.00,0.199,0.941,1,0.941270
"InStereo Recordings","Jul - 2017","190374888288","INS228","DJ Dan","DJ Dan & Friends","USMKV1622814","14","DJ Mes, DJ Dan","Goin' Down","","No","CA","WAV",2.74,4.500,60.00,0.274,1.296,1,1.296020
"InStereo Recordings","Jul - 2017","190374888400","INS232","Scotty Boy & Amiirah","Hey Mr. DJ","USMKV1623202","2","Amiirah, DJ Dan, Scotty Boy","Hey Mr. DJ","DJ Dan Remix","No","ES","MP3",1.99,4.500,60.00,0.199,0.941,1,0.941270
"InStereo Recordings","Jul - 2017","190374888400","INS232","Scotty Boy & Amiirah","Hey Mr. DJ","USMKV1623202","2","Amiirah, DJ Dan, Scotty Boy","Hey Mr. DJ","DJ Dan Remix","No","US","MP3",1.99,4.500,60.00,0.000,1.140,1,1.140270
"InStereo Recordings","Jul - 2017","191018309343","INS244","Leandro Da Silva","I Love House Music","USMKV1624401","1","Leandro Da Silva","I Love House Music","Club Mix","No","GB","MP3",1.99,4.500,60.00,0.199,0.941,1,0.941270
"InStereo Recordings","Jul - 2017","191018741037","INS247","Jude & Frank","Spicy Collins","USMKV1624701","1","Jude & Frank","Spicy Collins","Original Mix","No","GB","MP3",1.99,4.500,60.00,0.199,0.941,1,0.941270
